region_id;rosstat_name;municipality_type;population;as_of;indicator_code
moscow;Городской округ Балашиха;городской округ;569040;2025-01-01;8112027
moscow;Богородский городской округ;городской округ;222878;2025-01-01;8112027
moscow;Городской округ Бронницы;городской округ;21050;2025-01-01;8112027
moscow;Городской округ Власиха (ЗАТО);городской округ;28556;2025-01-01;8112027
moscow;Волоколамский городской округ;городской округ;64353;2025-01-01;8112027
moscow;Городской округ Воскресенск;городской округ;161862;2025-01-01;8112027
moscow;Городской округ Восход (ЗАТО);городской округ;2056;2025-01-01;8112027
moscow;Городской округ Дзержинский;городской округ;57308;2025-01-01;8112027
moscow;Дмитровский городской округ;городской округ;168673;2025-01-01;8112027
moscow;Городской округ Долгопрудный;городской округ;118760;2025-01-01;8112027
moscow;Городской округ Домодедово;городской округ;231034;2025-01-01;8112027
moscow;Городской округ Дубна;городской округ;74223;2025-01-01;8112027
moscow;Городской округ Егорьевск;городской округ;111529;2025-01-01;8112027
moscow;Городской округ Жуковский;городской округ;109831;2025-01-01;8112027
moscow;Городской округ Зарайск;городской округ;36444;2025-01-01;8112027
moscow;Городской округ Звездный городок (ЗАТО);городской округ;7559;2025-01-01;8112027
moscow;Городской округ Истра;городской округ;172195;2025-01-01;8112027
moscow;Городской округ Кашира;городской округ;66093;2025-01-01;8112027
moscow;Городской округ Клин;городской округ;149813;2025-01-01;8112027
moscow;Городской округ Коломна;городской округ;215146;2025-01-01;8112027
moscow;Городской округ Королёв;городской округ;226477;2025-01-01;8112027
moscow;Городской округ Котельники;городской округ;75289;2025-01-01;8112027
moscow;Городской округ Красногорск;городской округ;345865;2025-01-01;8112027
moscow;Городской округ Краснознаменск  (ЗАТО);городской округ;44687;2025-01-01;8112027
moscow;Ленинский городской округ;городской округ;342130;2025-01-01;8112027
moscow;Городской округ Лобня;городской округ;82353;2025-01-01;8112027
moscow;Городской округ Лосино-Петровский;городской округ;74266;2025-01-01;8112027
moscow;Городской округ Лотошино;городской округ;21850;2025-01-01;8112027
moscow;Городской округ Луховицы;городской округ;61324;2025-01-01;8112027
moscow;Городской округ Лыткарино;городской округ;66930;2025-01-01;8112027
moscow;Городской округ Люберцы;городской округ;391176;2025-01-01;8112027
moscow;Можайский городской округ;городской округ;93410;2025-01-01;8112027
moscow;Городской округ Молодёжный (ЗАТО);городской округ;2838;2025-01-01;8112027
